id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5205377,Private room+bath in Wicker Park,26874445,Sebastien,,West Town,41.90434,-87.67967,Private room,55,2,234,2022-09-11,2.55,2,196,44,R21000064479
5210927,iKlektik House // Robin,8813383,Mindy + Tony,,West Town,41.89329,-87.68574,Entire home/apt,159,2,393,2022-08-31,4.36,3,124,50,R21000073802
5210931,Lights! Camera! Action! Cool Space!,26957265,Beth,,West Town,41.89053,-87.68084,Entire home/apt,179,30,73,2021-03-10,0.80,3,340,0,R18000034238
5231461,Modern/Spacious 2BR/2BA West Town,27074701,Charissa,,West Town,41.90168,-87.693,Entire home/apt,170,3,194,2022-09-06,2.15,1,293,34,R21000072504
5273709,PILSEN Flat next TRAIN / “Metro” / Pink Line EL,10815319,Matteo,,Lower West Side,41.85751,-87.66817,Entire home/apt,129,3,53,2022-08-20,0.70,1,20,17,R17000014398
5283285,The Flower Power Room,22215535,Matt,,Lower West Side,41.85707,-87.67082,Private room,25,32,155,2018-06-27,1.68,3,12,0,City registration pending
5297152,Fresh and Sunny Bed & Bath by UofC,9499059,Bennett,,Hyde Park,41.79857,-87.59814,Private room,74,21,208,2022-09-09,2.28,3,174,25,R17000014580
5320006,Casita De Luz,7723412,Jenny,,Near West Side,41.86971,-87.65939,Entire home/apt,104,50,33,2021-01-15,0.38,1,279,0,City registration pending
5321981,Inspiring Studio in Art Gallery,24676863,William,,West Town,41.9086,-87.67684,Private room,159,32,52,2022-07-31,0.57,3,55,4,City registration pending
5359984,"3 BR condo with great views, free WIFI and parking",4698713,Mark Y Toñi,,West Town,41.89558,-87.66585,Entire home/apt,216,3,101,2022-08-28,1.12,1,61,19,R20000058242
5406217,Modern 1BR/2BA Logan Square Condo,28022926,Bryan,,Logan Square,41.92723,-87.70807,Entire home/apt,178,2,194,2022-09-11,2.15,1,348,45,R22000077339
5496659,1 or 2 bdrm Apar+ in Our South Shore Bungalow home,28501460,Delia,,South Shore,41.76477,-87.57182,Private room,60,32,102,2021-08-02,1.12,7,364,0,City registration pending
5537682,The Rectory,28715964,David,,Lincoln Park,41.92032,-87.66153,Entire home/apt,279,2,207,2022-08-28,2.35,2,124,45,R19000037446
5537683,The Chapel: Great family spot,28715964,David,,Lincoln Park,41.92061,-87.66324,Entire home/apt,240,2,197,2022-08-29,2.16,2,124,35,R21000075217
5571262,Sunny Tri Level,12549865,Holly,,West Town,41.89738,-87.67208,Entire home/apt,246,3,97,2022-08-30,1.07,1,230,23,R21000073371
5576190,Bright Room at South Shore Bungalow,28501460,Delia,,South Shore,41.76302,-87.57186,Private room,26,32,59,2022-05-28,0.66,7,365,3,City registration pending
5576191,Yellow room+ for 1-4 guests @ South Shore bungalow,28501460,Delia,,South Shore,41.76257,-87.57225,Private room,23,32,35,2022-03-27,0.42,7,268,3,R18000036975
5629872,Historic Logan Square Home w/ 3 Ensuite Bathrooms!,22173890,Maureen,,Logan Square,41.92693,-87.71266,Entire home/apt,500,2,38,2020-02-16,0.42,1,0,0,R19000048813
5645139,Vintage Uptown Loft with Queen Bed & Private Bath,13195824,Amy,,Uptown,41.9693,-87.65918,Private room,92,3,173,2022-09-04,1.94,1,337,28,R20000053619
5694572,Lincoln Park Townhome (LP12) MONTHLY,33004,At Home Inn,,Lincoln Park,41.92229,-87.64234,Entire home/apt,165,32,18,2022-08-14,0.21,9,292,7,City registration pending
5785758,Medical Student Housing,250400,Dan,,South Lawndale,41.85253,-87.69803,Private room,50,4,21,2022-09-01,0.25,8,79,3,R17000022187
5804791,Single Bedroom for Med Students  & Professionals,250400,Dan,,South Lawndale,41.8544,-87.69845,Private room,55,24,20,2022-06-12,0.24,8,56,2,R18000036296
5805991,Medical Student Housing B,250400,Dan,,South Lawndale,41.85436,-87.69681,Private room,50,3,19,2022-09-04,0.25,8,69,5,R17000022187
5807478,Saint Ruby's Flats (3B),250400,Dan,,South Lawndale,41.85276,-87.69828,Private room,75,4,13,2022-05-30,0.17,8,67,2,R17000022187
5807548,One Block from Riot Fest,250400,Dan,,South Lawndale,41.85442,-87.69695,Private room,96,20,15,2022-08-27,0.18,8,75,2,R17000022187
5814832,Winchester Private Studio Apartment,21143101,Mari Pat,,Lincoln Square,41.97078,-87.67714,Entire home/apt,99,2,116,2022-09-08,1.29,1,53,9,R17000014322
5836043,"Long Stays, Highly Rated",2209061,Michelle,,West Town,41.89942,-87.67528,Entire home/apt,225,6,84,2022-09-01,0.93,2,14,17,R18000036485
5847065,Goose & Fox Hostel Lincoln Park,30356781,Greg,,Lincoln Park,41.91775,-87.65508,Private room,54,1,179,2022-09-06,1.99,1,51,15,R17000013070
5850897,"McCormick Place, Downtown Chicago, Museums, & more",22588707,Brandon,,Grand Boulevard,41.81436,-87.61289,Private room,153,2,28,2022-06-07,0.32,1,342,4,R17000013721
5851115,Great Place Garfield Park 3 Bedroom,28811949,Seth & Mike,,West Garfield Park,41.87669,-87.72146,Entire home/apt,92,1,457,2022-09-09,5.04,1,326,64,R17000013966
5861971,Funky & Cozy Designer Apt/ 4 stops from Downtown,11710780,Robert,,East Garfield Park,41.8867,-87.70783,Entire home/apt,73,3,161,2022-08-26,1.82,2,292,32,R21000075462
5869607,Lights!Camera!Action!Cool! Take 2,26957265,Beth,,West Town,41.88987,-87.68237,Entire home/apt,214,14,31,2019-10-20,0.39,3,6,0,R17000014328
5874798,Private bedroom/bath/entry in Lakeview,30507677,Dorene,,Lake View,41.93955,-87.65904,Private room,95,2,267,2022-09-11,2.96,1,331,45,R17000013387
5933672,Luxurious 2br 2ba Condo RIVER WEST,3965428,Rob,,Near West Side,41.88668,-87.64266,Entire home/apt,185,360,0,,,68,365,0,
5980645,Sidh  Arya,31050127,Siddharth,,Hermosa,41.93483,-87.74135,Private room,35,30,54,2022-07-01,0.60,2,317,1,R18000034185
5981743,Comfortable room in Art Gallery ((:,24676863,William,,West Town,41.90835,-87.67605,Private room,159,1,27,2022-08-21,0.30,3,331,2,R18000032029
5996942,"Spacious suite near CTA/orange line, McKinley Park",30836055,Ying,,Mckinley Park,41.82983,-87.67544,Entire home/apt,52,2,127,2022-09-10,1.65,1,326,33,R19000051601
6014028,Beautiful grand home by Downtown,31218043,Ion,,Douglas,41.83674,-87.62086,Private room,86,2,277,2022-07-17,3.08,1,325,16,R17000072911
6014128,Extended Stay Business  2 bedroom 2 Bath Balcony,3965428,Rob,,Loop,41.87132,-87.63146,Entire home/apt,200,360,3,2015-07-20,0.03,68,365,0,City registration pending
